,longitude,latitude
12,2.35565369883,48.8415220956
14,2.35072051462,48.8387845655
15,2.35032518137,48.8386266994
16,2.35204898978,48.8415436908
17,2.35131888111,48.8399629711
18,2.35148812086,48.8404654993
19,2.35171643934,48.8403203101
20,2.35160023509,48.8401042927
21,2.35128595959,48.8399377235
22,2.35160798927,48.8369566691
23,2.35170533384,48.8369924209
24,2.35213263001,48.8369174026
25,2.34988744863,48.8370529064
29,2.34774725448,48.8418607972
30,2.34919780199,48.8391109233
31,2.34979914169,48.8389186484
32,2.3490511936,48.8389635841
33,2.34911706684,48.8389289517
56,2.33985767982,48.8388967623
57,2.33820997399,48.8423722676
58,2.34325252136,48.8413045956
59,2.33894751299,48.8413474393
60,2.33880965468,48.8414284298
61,2.33857161008,48.8431816803
62,2.34392506287,48.8380402913
63,2.34197066089,48.8384517019
64,2.33983721263,48.8411301802
65,2.33905037452,48.8413620367
66,2.3390399132,48.8414242576
67,2.33893103265,48.8414783236
68,2.34157820394,48.8432543784
69,2.34105822188,48.8460283455
70,2.33979911453,48.8389160117
71,2.33836007167,48.8393571908
72,2.33946184693,48.8389924302
98,2.34807958676,48.8522854478
99,2.34823629843,48.8522320248
215,2.33252452624,48.8586061861
216,2.33293989551,48.8534420598
217,2.33343983554,48.8534787408
218,2.33551398134,48.8532259061
219,2.33560588066,48.8533144138
220,2.33198718586,48.8525468756
221,2.33171554671,48.8541347435
222,2.33352265386,48.8583579645
223,2.3333266863,48.8582123838
224,2.33272461514,48.8586856577
225,2.33276054518,48.8586319459
226,2.33341611469,48.8534326561
227,2.33384920104,48.8554556634
228,2.33388731094,48.8555650343
229,2.33382598963,48.855507416
254,2.32795687265,48.8600274405
255,2.32822970333,48.8600040273
275,2.33309063872,48.8582106901
276,2.33164489504,48.8563829836
277,2.32811510061,48.8576766566
278,2.32889517526,48.8572809643
279,2.32605483792,48.8561626117
280,2.33285501687,48.8583412735
290,2.30145085149,48.86493377
291,2.29937747044,48.8673583766
292,2.30281054445,48.8691189435
293,2.30350031967,48.8686025638
294,2.30642874981,48.8671656594
295,2.30183815355,48.8646730925
296,2.30634161825,48.8700220038
297,2.30609701132,48.8699096726
298,2.30515873521,48.8703990667
299,2.30893958212,48.8692034036
313,2.32618011283,48.8704944087
314,2.33028764367,48.8703961987
315,2.32738981177,48.8736538072
316,2.32734186838,48.873638003
317,2.32813636759,48.8729999632
318,2.33295236502,48.8727987896
319,2.32848697503,48.8735998769
320,2.32953310784,48.8734602053
321,2.33020178297,48.8718935089
322,2.3312228929,48.873063215
323,2.33129301769,48.873418287
324,2.33168822033,48.8711830932
325,2.32975519738,48.8735585373
326,2.3265936804,48.8703604782
327,2.33254476619,48.8709033627
328,2.32695931991,48.873172051
329,2.33118474288,48.8727798107
330,2.33123509605,48.8742976508
331,2.33074925085,48.8731995318
332,2.32708917635,48.8742150296
333,2.32860379849,48.8730277728
368,2.33698645045,48.8741276252
369,2.3351699703,48.8735165425
370,2.33356090684,48.8728213647
371,2.33248553136,48.8763758074
372,2.33723332899,48.8751117801
373,2.33709903069,48.8742465361
374,2.33536800222,48.8767339629
375,2.33724607637,48.876125809
376,2.33492999108,48.8711917204
377,2.3379975651,48.8742624688
378,2.33524611316,48.8751356117
379,2.33538032692,48.87419131
380,2.33540762551,48.8762714538
381,2.33925635334,48.8766305655
382,2.33851388033,48.8761151041
383,2.33698807723,48.8761315411
384,2.33707749967,48.8759612817
385,2.33506223776,48.8752598741
386,2.3353575713,48.8767837145
387,2.33863595939,48.8767702319
500,2.34846406858,48.8487211185
501,2.34416048323,48.853279449
502,2.34318041131,48.851207716
503,2.3480483989,48.8498618761
504,2.34482474245,48.8497238914
505,2.34498507549,48.8496783325
506,2.34591921119,48.8507918696
507,2.34456737232,48.8536137818
